,Table . Test 1+4+8 RESULTS,,,,,,,,,,,,,,,,,,,
No Canopy,,,,,,,,,,,,,,,,,,,ndata,50
Data with only values,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Inputs,,,,,,Outputs,,,
Test,Gage,"Charge weights
C4","Charge weights
TNT","Standoff
r","Charge height
z","Wall height
H","Range
R","Range
Rx","Range
Ry","Elevation
h",r/W1/3,z/W1/3,H/W1/3,Rx/W1/3,Ry/W1/3,h/W1/3,"Peak Side-on
Overpressue",Total impulse,,
No.,No.,(kg),(kg),(m),(m),(m),(m),(m),(m),(m),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(m/kg1/3),(kPa),(kPa-msec),,
1,F1-1,0.463,0.522,0.3048,0.3048,0.6858,0.686,0.686,0.000,0.000,0.195,0.195,0.438,0.438,0.000,0.000,108.39,89.63,,
,F1-2,0.463,0.522,0.3048,0.3048,0.6858,0.686,0.686,0.000,0.686,0.195,0.195,0.438,0.438,0.000,0.438,103.97,62.05,,
,F2-1,0.463,0.522,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.000,0.195,0.195,0.438,0.875,0.000,0.000,57.36,62.05,,
,F2-2,0.463,0.522,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.686,0.195,0.195,0.438,0.875,0.000,0.438,43.30,55.16,,
,F3-1,0.463,0.522,0.3048,0.3048,0.6858,2.057,2.057,0.000,0.000,0.195,0.195,0.438,1.313,0.000,0.000,48.81,55.16,,
,F3-2,0.463,0.522,0.3048,0.3048,0.6858,2.057,2.057,0.000,0.686,0.195,0.195,0.438,1.313,0.000,0.438,22.27,41.37,,
,F4-1,0.463,0.522,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.000,0.195,0.195,0.438,1.751,0.000,0.000,44.26,41.37,,
,F4-2,0.463,0.522,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.686,0.195,0.195,0.438,1.751,0.000,0.438,26.20,41.37,,
,F6-1,0.463,0.522,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.000,0.195,0.195,0.438,2.626,0.000,0.000,24.27,41.37,,
,F6-2,0.463,0.522,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.686,0.195,0.195,0.438,2.626,0.000,0.438,12.89,34.47,,
,F8-1,0.463,0.522,0.3048,0.3048,0.6858,5.486,5.486,0.000,0.000,0.195,0.195,0.438,3.501,0.000,0.000,24.82,34.47,,
,F8-2,0.463,0.522,0.3048,0.3048,0.6858,5.486,5.486,0.000,1.372,0.195,0.195,0.438,3.501,0.000,0.875,15.93,27.58,,
,S2-1,0.463,0.522,0.3048,0.3048,0.6858,1.372,0.970,0.970,0.000,0.195,0.195,0.438,0.619,0.619,0.000,91.63,62.05,,
,S2-2,0.463,0.522,0.3048,0.3048,0.6858,1.372,0.970,0.970,0.686,0.195,0.195,0.438,0.619,0.619,0.438,65.22,48.26,,
,S4-1,0.463,0.522,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.000,0.195,0.195,0.438,1.238,1.238,0.000,52.61,41.37,,
,S4-2,0.463,0.522,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.686,0.195,0.195,0.438,1.238,1.238,0.438,21.10,34.47,,
,S8-1,0.463,0.522,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.000,0.195,0.195,0.438,2.476,2.476,0.000,19.79,27.58,,
,S8-2,0.463,0.522,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.686,0.195,0.195,0.438,2.476,2.476,0.438,10.55,27.58,,
4,F1-1,3.629,4.097,0.3048,0.3048,0.6858,0.686,0.686,0.000,0.000,0.025,0.025,0.056,0.056,0.000,0.000,205.74,248.21,,
,F1-2,3.629,4.097,0.3048,0.3048,0.6858,0.686,0.686,0.000,0.686,0.025,0.025,0.056,0.056,0.000,0.056,203.88,151.68,,
,F2-1,3.629,4.097,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.000,0.025,0.025,0.056,0.112,0.000,0.000,248.21,199.95,,
,F2-2,3.629,4.097,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.686,0.025,0.025,0.056,0.112,0.000,0.056,150.51,158.58,,
,F3-1,3.629,4.097,0.3048,0.3048,0.6858,2.057,2.057,0.000,0.000,0.025,0.025,0.056,0.167,0.000,0.000,185.12,220.63,,
,F3-2,3.629,4.097,0.3048,0.3048,0.6858,2.057,2.057,0.000,0.686,0.025,0.025,0.056,0.167,0.000,0.056,96.39,193.05,,
,F4-1,3.629,4.097,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.000,0.025,0.025,0.056,0.223,0.000,0.000,112.45,172.37,,
,F4-2,3.629,4.097,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.686,0.025,0.025,0.056,0.223,0.000,0.056,48.61,137.90,,
,F6-1,3.629,4.097,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.000,0.025,0.025,0.056,0.335,0.000,0.000,66.88,137.90,,
,F6-2,3.629,4.097,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.686,0.025,0.025,0.056,0.335,0.000,0.056,46.82,137.90,,
,F8-1,3.629,4.097,0.3048,0.3048,0.6858,5.486,5.486,0.000,0.000,0.025,0.025,0.056,0.446,0.000,0.000,51.37,124.11,,
,F8-2,3.629,4.097,0.3048,0.3048,0.6858,5.486,5.486,0.000,1.372,0.025,0.025,0.056,0.446,0.000,0.112,39.16,124.11,,
,S2-1,3.629,4.097,0.3048,0.3048,0.6858,1.372,0.970,0.970,0.000,0.025,0.025,0.056,0.079,0.079,0.000,195.74,255.11,,
,S4-1,3.629,4.097,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.000,0.025,0.025,0.056,0.158,0.158,0.000,168.23,172.37,,
,S4-2,3.629,4.097,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.686,0.025,0.025,0.056,0.158,0.158,0.056,169.54,172.37,,
,S8-1,3.629,4.097,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.000,0.025,0.025,0.056,0.316,0.316,0.000,53.78,96.53,,
,S8-2,3.629,4.097,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.686,0.025,0.025,0.056,0.316,0.316,0.056,38.40,110.32,,
8,F1-1,6.804,7.682,0.3048,0.3048,0.6858,0.686,0.686,0.000,0.000,0.013,0.013,0.030,0.030,0.000,0.000,271.24,241.32,,
,F2-1,6.804,7.682,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.000,0.013,0.013,0.030,0.060,0.000,0.000,270.96,227.53,,
,F2-2,6.804,7.682,0.3048,0.3048,0.6858,1.372,1.372,0.000,0.686,0.013,0.013,0.030,0.060,0.000,0.030,144.38,344.74,,
,F3-1,6.804,7.682,0.3048,0.3048,0.6858,2.057,2.057,0.000,0.000,0.013,0.013,0.030,0.089,0.000,0.000,214.50,199.95,,
,F4-1,6.804,7.682,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.000,0.013,0.013,0.030,0.119,0.000,0.000,159.13,206.84,,
,F4-2,6.804,7.682,0.3048,0.3048,0.6858,2.743,2.743,0.000,0.686,0.013,0.013,0.030,0.119,0.000,0.030,57.78,186.16,,
,F6-1,6.804,7.682,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.000,0.013,0.013,0.030,0.179,0.000,0.000,97.91,172.37,,
,F6-2,6.804,7.682,0.3048,0.3048,0.6858,4.115,4.115,0.000,0.686,0.013,0.013,0.030,0.179,0.000,0.030,53.78,158.58,,
,F8-1,6.804,7.682,0.3048,0.3048,0.6858,5.486,5.486,0.000,0.000,0.013,0.013,0.030,0.238,0.000,0.000,63.02,151.68,,
,F8-2,6.804,7.682,0.3048,0.3048,0.6858,5.486,5.486,0.000,1.372,0.013,0.013,0.030,0.238,0.000,0.060,41.37,144.79,,
,S2-1,6.804,7.682,0.3048,0.3048,0.6858,1.372,0.970,0.970,0.000,0.013,0.013,0.030,0.042,0.042,0.000,287.17,268.90,,
,S4-1,6.804,7.682,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.000,0.013,0.013,0.030,0.084,0.084,0.000,214.84,220.63,,
,S4-2,6.804,7.682,0.3048,0.3048,0.6858,2.743,1.940,1.940,0.686,0.013,0.013,0.030,0.084,0.084,0.030,250.49,255.11,,
,S8-1,6.804,7.682,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.000,0.013,0.013,0.030,0.168,0.168,0.000,78.95,131.00,,
,S8-2,6.804,7.682,0.3048,0.3048,0.6858,5.486,3.879,3.879,0.686,0.013,0.013,0.030,0.168,0.168,0.030,51.09,117.21,,